0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:23:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:25:42 +0530] "GET /psc_web_app/new HTTP/1.1" 200 5525
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:25:42 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:25:54 +0530] "POST /psc_web_app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:25:54 +0530] "GET /psc_web_app/list HTTP/1.1" 200 7730
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:25:54 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:39:14 +0530] "GET /psc_web_app/edit?collected_paddy_details_Id=2 HTTP/1.1" 200 5596
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:39:14 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:39:21 +0530] "POST /psc_web_app/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:39:22 +0530] "GET /psc_web_app/list HTTP/1.1" 200 7730
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:39:22 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:48:02 +0530] "GET /psc_web_app/delete?collected_paddy_details_Id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:48:02 +0530] "GET /psc_web_app/list HTTP/1.1" 200 7270
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:48:02 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
