127.0.0.1 - - [26/Nov/2021:01:06:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:37 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10196
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:37 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:37 +0530] "GET /psc_web_app/CollectionOfficerAssets/img/team/logo_final.png%22 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:37 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:37 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a97b3594ad416896e15824f6787370e0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10197
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
